id,mac,rssi,timestamp
b9368f5d-ac57-498e-8e73-91287f0d8082,00:0c:e7:2c:bc:f1,-82,09-05-2023 20:40:35
1e753072-2a1c-47ec-84d6-be52602491a8,00:0c:e7:2e:ef:42,-78,09-05-2023 12:19:51
dee93dfe-f7ae-4402-a3eb-45f874a90f5f,00:0c:e7:2f:98:d0,-86,09-05-2023 18:35:41
4c442f7b-ce8a-402e-a24e-fd1c1e163bac,00:0c:e7:2f:98:d0,-86,09-05-2023 18:35:41
024de658-1659-41fd-bed4-21027c56368e,00:0c:e7:3c:29:1a,-83,09-05-2023 13:47:21
8b949e91-6938-446a-bc8a-7d19033bfcb5,00:0c:e7:3c:29:1a,-82,09-05-2023 13:47:22
3350026a-6c48-48a4-90b5-88b0c971aa7c,00:0c:e7:41:6c:e2,-84,09-05-2023 12:48:40
1c13e4c2-c18e-421a-854c-9530af58675e,00:0c:e7:42:4c:70,-94,09-05-2023 20:21:22
2149162d-5f09-4df4-bddf-ec047150c8ad,00:0c:e7:43:7e:cb,-86,09-05-2023 19:02:33
2996d033-904f-40aa-a019-aec39a46be9f,00:0c:e7:43:7e:cb,-84,09-05-2023 19:02:34
c4fa214b-5f5a-4826-8e5b-34b9b640cc67,00:0c:e7:44:aa:54,-87,09-05-2023 15:37:09
62326c10-5a29-4489-a16d-67a261813b67,00:0c:e7:4d:7b:b2,-89,09-05-2023 11:43:06
88e44777-7fca-4d6c-8746-538cf66b1b53,00:0c:e7:50:2b:4c,-85,09-05-2023 21:51:27
9fdbcf05-114f-4a50-b088-fedf9a40dcba,00:0c:e7:50:e0:e9,-75,09-05-2023 11:25:34
962d0480-547c-4146-b832-2e9d007245f4,00:0c:e7:50:e0:e9,-75,09-05-2023 11:25:34
b03a27de-20f4-4647-8263-e2ad2365078a,00:0c:e7:50:e0:e9,-75,09-05-2023 11:25:34
e6a22d9f-2093-4f94-9920-5c5231f5f7d1,00:0c:e7:51:e3:45,-90,09-05-2023 14:33:12
b1a811a0-3098-479f-a919-1bc06be33554,00:0c:e7:58:c4:0e,-92,09-05-2023 09:05:47
bd39c62d-0dc2-475d-ac1d-7191801c3672,00:0c:e7:61:e8:90,-90,09-05-2023 14:35:10
be86ed66-d5f1-4413-8796-5beb01b3de1f,00:0c:e7:68:c1:f2,-90,09-05-2023 14:29:51
09a20b6d-020c-4405-b013-c9f9d5822363,00:0c:e7:6d:06:24,-75,09-05-2023 14:30:32
abe7985c-0743-49c7-a8d1-29227bf59205,00:0c:e7:6d:06:24,-70,09-05-2023 14:30:33
add9d00c-beba-48b9-9216-d68b292a8434,00:0c:e7:6d:56:ef,-82,09-05-2023 10:34:15
e996ef7e-f3a0-4d7a-969f-9ade29fbadcc,00:0c:e7:6d:56:ef,-85,09-05-2023 10:34:15
c69b0eb7-c441-4326-9206-5f640110cc67,00:0c:e7:72:7f:4b,-92,09-05-2023 12:06:44
509b11c3-4798-457a-bc26-2aec31d2c38d,00:0c:e7:72:f0:98,-88,09-05-2023 12:07:28
f9909c0f-3175-4f07-b73e-a8a931ff8b1f,00:0c:e7:72:f6:9d,-80,09-05-2023 19:28:29
9d5c40ae-cf0f-4c85-983e-5164c6c6d2fc,00:0c:e7:72:f6:9d,-83,09-05-2023 19:28:29
c97e9484-ffcc-43e5-ae43-93f7664a9c91,00:0c:e7:76:2b:98,-87,09-05-2023 12:08:37
2c6c95ac-66e1-4511-a572-1fbc2597260b,00:0c:e7:76:99:15,-83,09-05-2023 12:06:57
e39b6344-e11b-46db-b1f1-bf0c45ae268c,00:0c:e7:76:d5:a8,-94,09-05-2023 11:16:57
3b60c432-b71e-471a-8284-74a702080c4a,00:0c:e7:77:1d:37,-88,09-05-2023 14:36:55
9ef4cdcf-ef83-42a7-9a6f-a94885a9e045,00:0c:e7:79:e2:f9,-88,09-05-2023 20:40:21
eee13120-443a-4481-8f00-5e459493d0d9,00:0c:e7:80:b4:19,-91,09-05-2023 08:44:35
2d58b484-124e-4db2-ab87-4246530d04c9,00:0c:e7:87:97:0c,-91,09-05-2023 17:28:00
17ffbcbe-31b1-442e-9d86-1a22c4a9ebeb,00:0c:e7:89:9e:c7,-77,09-05-2023 15:25:02
84725536-3ce9-4251-9b52-03255fdc21ec,00:0c:e7:89:9e:c7,-74,09-05-2023 15:25:02
83e49b57-b2a6-4418-ad9b-6c3d0fd4caa7,00:0c:e7:8d:29:94,-76,09-05-2023 13:36:47
20a5a121-1a87-419b-bb91-92bc60515935,00:0c:e7:8d:ff:85,-83,09-05-2023 18:47:56
1f99397f-70cc-443f-9260-9a1d0a608a81,00:0c:e7:90:23:cc,-80,09-05-2023 13:14:59
9d0425ab-d400-4237-ac8b-1e241edad60d,00:0c:e7:91:98:18,-87,09-05-2023 18:00:45
6c3030a2-a3c0-4991-866e-09871479fbde,00:0c:e7:92:3a:b6,-87,09-05-2023 14:34:52
c5e6ae86-e701-40f4-b987-98d9f9e8f214,00:0c:e7:95:94:84,-84,09-05-2023 12:48:17
c489709b-805f-4ce1-8da0-5282f3975014,00:0c:e7:96:d3:a8,-85,09-05-2023 18:52:34
d279b582-6abe-4e60-ad55-376523909a7b,00:0c:e7:99:98:a4,-88,09-05-2023 14:27:37
